City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,4.99,79,76,19.36,TF,1702529974
1,waitangi,-43.9535,-176.5597,12.12,83,67,4.02,NZ,1702529974
2,tura,25.5198,90.2201,21.55,42,0,0.91,IN,1702529974
3,la sarre,48.8002,-79.1996,-10.83,91,84,2.59,CA,1702529723
4,vorgashor,67.5833,63.95,-16.78,97,99,3.48,RU,1702529975
5,cozumel,20.5083,-86.9458,26.08,98,94,4.47,MX,1702529760
6,puerto natales,-51.7236,-72.4875,3.07,79,62,2.2,CL,1702529975
7,morondava,-20.2833,44.2833,29.79,60,47,2.38,MG,1702529976
8,yellowknife,62.456,-114.3525,0.31,71,0,9.26,CA,1702529698
9,hauterive,46.0901,3.4459,6.11,95,99,3.57,FR,1702529976
10,grytviken,-54.2811,-36.5092,3.32,93,85,1.5,GS,1702529976
11,constitucion,-35.3333,-72.4167,12.64,73,43,5.43,CL,1702529757
12,edinburgh of the seven seas,-37.0676,-12.3116,15.76,91,100,6.67,SH,1702529976
13,hawaiian paradise park,19.5933,-154.9731,22.73,88,75,4.12,US,1702529977
14,guangyuan,32.442,105.823,11.18,70,100,3.41,CN,1702529977
15,cockburn town,21.4612,-71.1419,26.12,68,100,11.34,TC,1702529800
16,iqaluit,63.7506,-68.5145,-13.15,78,75,2.57,CA,1702529977
17,guerrero negro,27.9769,-114.0611,16.36,78,0,3.42,MX,1702529911
18,aquitania,5.5197,-72.8875,9.39,96,88,0.61,CO,1702529978
19,puerto ayora,-0.7393,-90.3518,24.01,90,69,3.73,EC,1702529978
20,lebu,-37.6167,-73.65,10.96,86,0,8.34,CL,1702529979
21,papatowai,-46.5619,169.4708,13.08,60,99,3.68,NZ,1702529979
22,bethel,41.3712,-73.414,1.53,64,2,0.45,US,1702529682
23,jolo,6.05,121.0167,29.57,70,100,2.82,PH,1702529979
24,raduzhny,62.0961,77.475,-13.96,95,100,3.89,RU,1702529980
25,tyukhtet,56.5389,89.3011,-20.96,93,100,5.14,RU,1702529980
26,adamstown,-25.066,-130.1015,23.35,87,89,4.65,PN,1702529980
27,prince rupert,54.3161,-130.3201,6.83,74,100,13.38,CA,1702529980
28,huarmey,-10.0681,-78.1522,20.67,87,31,3.93,PE,1702529981
29,esquel,-42.9,-71.3167,7.42,72,100,2.49,AR,1702529981
30,phan rang-thap cham,11.5667,108.9833,31.05,57,48,6.24,VN,1702529981
31,albany,42.6001,-73.9662,-1.85,74,33,1.79,US,1702529981
32,toamasina,-18.1667,49.3833,27.43,69,94,0.53,MG,1702529982
33,georgetown,5.4112,100.3354,31.08,87,20,2.57,MY,1702529982
34,tolanaro,-25.0319,46.9987,27.81,72,45,5.19,MG,1702529983
35,avarua,-21.2078,-159.775,25.03,94,100,3.6,CK,1702529983
36,lihue,21.9789,-159.3672,23.58,75,100,8.23,US,1702529746
37,kodiak,57.79,-152.4072,-8.25,79,98,5.7,US,1702529983
38,gizo,-8.103,156.8419,28.45,77,99,3.98,SB,1702529983
39,victorica,-36.2151,-65.4359,21.25,48,0,5.07,AR,1702529984
40,darnah,32.767,22.6367,17.75,55,8,6.93,LY,1702529984
41,barra de santo antonio,-9.4047,-35.5072,22.6,76,8,1.97,BR,1702529984
42,usinsk,65.9939,57.5281,-13.22,94,100,7.6,RU,1702529984
43,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,46,75,8.0,RU,1702529984
44,nova sintra,14.8667,-24.7167,21.4,66,98,3.66,CV,1702529985
45,margaret river,-33.95,115.0667,22.07,43,13,7.68,AU,1702529753
46,jamestown,42.097,-79.2353,-3.03,81,0,1.54,US,1702529985
47,korsholm,63.1142,21.6822,-9.44,89,100,2.24,FI,1702529985
48,margate,51.3813,1.3862,4.83,89,99,0.89,GB,1702529985
49,fort st. john,56.2499,-120.8529,1.94,51,20,5.66,CA,1702529986
50,ugoofaaru,5.6667,73.0,28.73,74,74,7.58,MV,1702529986
51,marysville,48.0518,-122.1771,9.51,70,100,1.34,US,1702529986
52,necochea,-38.5473,-58.7368,11.57,72,0,4.58,AR,1702529986
53,tual,-5.6667,132.75,28.77,76,93,6.32,ID,1702529987
54,bredasdorp,-34.5322,20.0403,16.59,59,100,2.81,ZA,1702529987
55,chui,-33.6971,-53.4616,19.91,95,0,0.88,UY,1702529987
56,woolgoolga,-30.1106,153.2007,33.36,65,70,7.19,AU,1702529987
57,kirillov,59.863,38.3813,-10.57,94,100,3.77,RU,1702529988
58,tazovsky,67.4667,78.7,-19.19,95,100,3.7,RU,1702529988
59,muravlenko,63.7898,74.523,-13.48,95,100,4.3,RU,1702529988
60,wailua homesteads,22.0669,-159.378,21.53,77,96,1.34,US,1702529988
61,blackmans bay,-43.0167,147.3167,21.07,79,85,5.85,AU,1702529989
62,hermanus,-34.4187,19.2345,16.41,64,100,0.98,ZA,1702529989
63,susuman,62.7833,148.1667,-22.96,97,100,2.69,RU,1702529989
64,rye,40.9807,-73.6837,3.3,55,0,5.66,US,1702529943
65,pasuquin,18.3328,120.6177,33.97,46,20,6.69,PH,1702529989
66,port mathurin,-19.6833,63.4167,26.47,75,6,6.01,MU,1702529990
67,aldama,22.9167,-98.0667,20.83,92,98,1.92,MX,1702529990
68,mount pearl,47.5166,-52.7813,3.25,90,100,5.14,CA,1702529971
69,afaahiti,-17.75,-149.2833,25.93,87,92,8.34,PF,1702529990
70,caleta de carquin,-11.0925,-77.6267,20.26,87,17,4.32,PE,1702529990
71,vadso,70.0744,29.7487,-8.91,79,20,5.66,NO,1702529724
72,kapa'a,22.0752,-159.319,22.28,75,95,1.34,US,1702529991
73,polyarnyy,69.1989,33.4478,-16.66,100,86,4.26,RU,1702529991
74,hithadhoo,-0.6,73.0833,28.61,73,59,4.36,MV,1702529992
75,vila franca do campo,37.7167,-25.4333,14.23,70,100,4.54,PT,1702529992
76,westport,41.1415,-73.3579,2.99,60,1,5.46,US,1702529939
